,home,away,date,match_type,venue,time_of_match,toss,winner,man_of_match,outcome
152,Delhi Daredevils,Royal Challengers Bangalore,"4th April, 2010",league,"Arun Jaitley Stadium, Delhi",Day/Night Match,Delhi Daredevils,Delhi Daredevils,Paul Collingwood,1
153,Deccan Chargers,Rajasthan Royals,"5th April, 2010",league,"Vidarbha Cricket Association Stadium, Nagpur",Day/Night Match,Rajasthan Royals,Rajasthan Royals,Shane Warne,0
154,Chennai Super Kings,Mumbai Indians,"6th April, 2010",league,"MA Chidambaram Stadium, Chennai",Day/Night Match,Chennai Super Kings,Chennai Super Kings,Suresh Raina,1
155,Rajasthan Royals,Kings XI Punjab,"7th April, 2010",league,"Sawai Mansingh Stadium, Jaipur",Day/Night Match,Kings XI Punjab,Rajasthan Royals,Michael Lumb,1
156,Kolkata Knight Riders,Delhi Daredevils,"7th April, 2010",league,"Eden Gardens, Kolkata",Day/Night Match,Kolkata Knight Riders,Kolkata Knight Riders,Sourav Ganguly,1
157,Royal Challengers Bangalore,Deccan Chargers,"8th April, 2010",league,"M Chinnaswamy Stadium, Bengaluru, Bangalore",Day/Night Match,Deccan Chargers,Deccan Chargers,Tirumalasetti Suman,0
158,Kings XI Punjab,Mumbai Indians,"9th April, 2010",league,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Day/Night Match,Mumbai Indians,Kings XI Punjab,Kumar Sangakkara,1
159,Deccan Chargers,Chennai Super Kings,"10th April, 2010",league,"Vidarbha Cricket Association Stadium, Nagpur",Day/Night Match,Chennai Super Kings,Deccan Chargers,Ryan Harris,1
160,Royal Challengers Bangalore,Kolkata Knight Riders,"10th April, 2010",league,"M Chinnaswamy Stadium, Bengaluru, Bangalore",Day/Night Match,Royal Challengers Bangalore,Royal Challengers Bangalore,Vinay Kumar,1
161,Delhi Daredevils,Kings XI Punjab,"11th April, 2010",league,"Arun Jaitley Stadium, Delhi",Day/Night Match,Delhi Daredevils,Kings XI Punjab,Piyush Chawla,0
162,Rajasthan Royals,Mumbai Indians,"11th April, 2010",league,"Sawai Mansingh Stadium, Jaipur",Day/Night Match,Rajasthan Royals,Mumbai Indians,Sachin Tendulkar,0
163,Deccan Chargers,Royal Challengers Bangalore,"12th April, 2010",league,"Vidarbha Cricket Association Stadium, Nagpur",Day/Night Match,Royal Challengers Bangalore,Deccan Chargers,Harmeet Singh,1
164,Mumbai Indians,Delhi Daredevils,"13th April, 2010",league,"Brabourne Stadium, Mumbai",Day/Night Match,Mumbai Indians,Mumbai Indians,Kieron Pollard,1
165,Chennai Super Kings,Kolkata Knight Riders,"13th April, 2010",league,"MA Chidambaram Stadium, Chennai",Day/Night Match,Kolkata Knight Riders,Chennai Super Kings,Ravichandran Ashwin,1
166,Rajasthan Royals,Royal Challengers Bangalore,"14th April, 2010",league,"Sawai Mansingh Stadium, Jaipur",Day/Night Match,Rajasthan Royals,Royal Challengers Bangalore,Kevin Pietersen,0
167,Chennai Super Kings,Delhi Daredevils,"15th April, 2010",league,"MA Chidambaram Stadium, Chennai",Day/Night Match,Chennai Super Kings,Delhi Daredevils,Gautam Gambhir,0
168,Kings XI Punjab,Deccan Chargers,"16th April, 2010",league,"Himachal Pradesh Cricket Association Stadium, Dharamsala",Day/Night Match,Deccan Chargers,Deccan Chargers,Rohit Sharma,0
169,Royal Challengers Bangalore,Mumbai Indians,"17th April, 2010",league,"M Chinnaswamy Stadium, Bengaluru, Bangalore",Day/Night Match,Royal Challengers Bangalore,Mumbai Indians,Ryan McLaren,0
170,Kolkata Knight Riders,Rajasthan Royals,"17th April, 2010",league,"Eden Gardens, Kolkata",Day/Night Match,Rajasthan Royals,Kolkata Knight Riders,Jaydev Unadkat,1
171,Kings XI Punjab,Chennai Super Kings,"18th April, 2010",league,"Himachal Pradesh Cricket Association Stadium, Dharamsala",Day/Night Match,Chennai Super Kings,Chennai Super Kings,M S Dhoni,0
172,Delhi Daredevils,Deccan Chargers,"18th April, 2010",league,"Arun Jaitley Stadium, Delhi",Day/Night Match,Deccan Chargers,Deccan Chargers,Andrew Symonds,0
173,Kolkata Knight Riders,Mumbai Indians,"19th April, 2010",league,"Eden Gardens, Kolkata",Day/Night Match,Mumbai Indians,Kolkata Knight Riders,Murali Kartik,1
174,Royal Challengers Bangalore,Mumbai Indians,"21st April, 2010",knockout,"Dr DY Patil Sports Academy, Mumbai",Day/Night Match,Mumbai Indians,Mumbai Indians,Kieron Pollard,0
175,Chennai Super Kings,Deccan Chargers,"22nd April, 2010",knockout,"Dr DY Patil Sports Academy, Mumbai",Day/Night Match,Chennai Super Kings,Chennai Super Kings,Doug Bollinger,1
176,Royal Challengers Bangalore,Deccan Chargers,"24th April, 2010",knockout,"Dr DY Patil Sports Academy, Mumbai",Day/Night Match,Deccan Chargers,Royal Challengers Bangalore,Anil Kumble,1
177,Chennai Super Kings,Mumbai Indians,"25th April, 2010",knockout,"Dr DY Patil Sports Academy, Mumbai",Day/Night Match,Chennai Super Kings,Chennai Super Kings,Suresh Raina,1
178,Chennai Super Kings,Kolkata Knight Riders,"8th April, 2011",league,"MA Chidambaram Stadium, Chennai",Day/Night Match,Chennai Super Kings,Chennai Super Kings,Srikkanth Anirudha,1
179,Deccan Chargers,Rajasthan Royals,"9th April, 2011",league,"Rajiv Gandhi International Stadium, Hyderabad",Day/Night Match,Rajasthan Royals,Rajasthan Royals,Siddharth Trivedi,0
180,Kochi Tuskers Kerala,Royal Challengers Bangalore,"9th April, 2011",league,"Nehru Stadium, Kochi",Day/Night Match,Kochi Tuskers Kerala,Royal Challengers Bangalore,AB de Villiers,0
181,Delhi Daredevils,Mumbai Indians,"10th April, 2011",league,"Arun Jaitley Stadium, Delhi",Day/Night Match,Delhi Daredevils,Mumbai Indians,Lasith Malinga,0
182,Pune Warriors,Kings XI Punjab,"10th April, 2011",league,"Dr DY Patil Sports Academy, Mumbai",Day/Night Match,Kings XI Punjab,Pune Warriors,Shrikant Wagh,1
183,Kolkata Knight Riders,Deccan Chargers,"11th April, 2011",league,"Eden Gardens, Kolkata",Day/Night Match,Kolkata Knight Riders,Kolkata Knight Riders,Jacques Kallis,1
184,Rajasthan Royals,Delhi Daredevils,"12th April, 2011",league,"Sawai Mansingh Stadium, Jaipur",Day/Night Match,Delhi Daredevils,Rajasthan Royals,Shane Warne,1
185,Royal Challengers Bangalore,Mumbai Indians,"12th April, 2011",league,"M Chinnaswamy Stadium, Bengaluru, Bangalore",Day/Night Match,Mumbai Indians,Mumbai Indians,Sachin Tendulkar,0
186,Kings XI Punjab,Chennai Super Kings,"13th April, 2011",league,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Day/Night Match,Kings XI Punjab,Kings XI Punjab,Paul Valthaty,1
187,Pune Warriors,Kochi Tuskers Kerala,"13th April, 2011",league,"Dr DY Patil Sports Academy, Mumbai",Day/Night Match,Kochi Tuskers Kerala,Pune Warriors,Mohnish Mishra,1
188,Deccan Chargers,Royal Challengers Bangalore,"14th April, 2011",league,"Rajiv Gandhi International Stadium, Hyderabad",Day/Night Match,Royal Challengers Bangalore,Deccan Chargers,Dale Steyn,1
189,Rajasthan Royals,Kolkata Knight Riders,"15th April, 2011",league,"Sawai Mansingh Stadium, Jaipur",Day/Night Match,Kolkata Knight Riders,Kolkata Knight Riders,Gautam Gambhir,0
190,Mumbai Indians,Kochi Tuskers Kerala,"15th April, 2011",league,"Barabati Stadium, Cuttack",Day/Night Match,Kochi Tuskers Kerala,Kochi Tuskers Kerala,Brendon McCullum,0
191,Chennai Super Kings,Royal Challengers Bangalore,"16th April, 2011",league,"MA Chidambaram Stadium, Chennai",Day/Night Match,Chennai Super Kings,Chennai Super Kings,Michael Hussey,1
192,Deccan Chargers,Kings XI Punjab,"16th April, 2011",league,"Rajiv Gandhi International Stadium, Hyderabad",Day/Night Match,Kings XI Punjab,Kings XI Punjab,Paul Valthaty,0
193,Pune Warriors,Delhi Daredevils,"17th April, 2011",league,"Dr DY Patil Sports Academy, Mumbai",Day/Night Match,Delhi Daredevils,Delhi Daredevils,Yuvraj Singh,0
194,Kolkata Knight Riders,Rajasthan Royals,"17th April, 2011",league,"Eden Gardens, Kolkata",Day/Night Match,Kolkata Knight Riders,Kolkata Knight Riders,Lakshmipathy Balaji,1
195,Kochi Tuskers Kerala,Chennai Super Kings,"18th April, 2011",league,"Nehru Stadium, Kochi",Day/Night Match,Kochi Tuskers Kerala,Kochi Tuskers Kerala,Brendon McCullum,1
196,Delhi Daredevils,Deccan Chargers,"19th April, 2011",league,"Arun Jaitley Stadium, Delhi",Day/Night Match,Deccan Chargers,Deccan Chargers,Sunny Sohal,0
197,Royal Challengers Bangalore,Rajasthan Royals,"19th April, 2011",league,"M Chinnaswamy Stadium, Bengaluru, Bangalore",Day/Night Match,No Toss,No result,No Award,0
198,Mumbai Indians,Pune Warriors,"20th April, 2011",league,"Wankhede Stadium, Mumbai",Day/Night Match,Pune Warriors,Mumbai Indians,Munaf Patel,1
199,Kolkata Knight Riders,Kochi Tuskers Kerala,"20th April, 2011",league,"Eden Gardens, Kolkata",Day/Night Match,Kolkata Knight Riders,Kochi Tuskers Kerala,Mahela Jayawardene,0
200,Kings XI Punjab,Rajasthan Royals,"21st April, 2011",league,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Day/Night Match,Rajasthan Royals,Kings XI Punjab,Shaun Marsh,1
201,Kolkata Knight Riders,Royal Challengers Bangalore,"22nd April, 2011",league,"Eden Gardens, Kolkata",Day/Night Match,Royal Challengers Bangalore,Royal Challengers Bangalore,Chris Gayle,0
202,Mumbai Indians,Chennai Super Kings,"22nd April, 2011",league,"Wankhede Stadium, Mumbai",Day/Night Match,Chennai Super Kings,Mumbai Indians,Harbhajan Singh,1
203,Delhi Daredevils,Kings XI Punjab,"23rd April, 2011",league,"Arun Jaitley Stadium, Delhi",Day/Night Match,Kings XI Punjab,Delhi Daredevils,David Warner,1
204,Deccan Chargers,Mumbai Indians,"24th April, 2011",league,"Rajiv Gandhi International Stadium, Hyderabad",Day/Night Match,Deccan Chargers,Mumbai Indians,Lasith Malinga,0
205,Rajasthan Royals,Kochi Tuskers Kerala,"24th April, 2011",league,"Sawai Mansingh Stadium, Jaipur",Day/Night Match,Rajasthan Royals,Rajasthan Royals,Shane Warne,1
206,Chennai Super Kings,Pune Warriors,"25th April, 2011",league,"MA Chidambaram Stadium, Chennai",Day/Night Match,Pune Warriors,Chennai Super Kings,Michael Hussey,1
207,Delhi Daredevils,Royal Challengers Bangalore,"26th April, 2011",league,"Arun Jaitley Stadium, Delhi",Day/Night Match,Royal Challengers Bangalore,Royal Challengers Bangalore,Virat Kohli,0
208,Pune Warriors,Chennai Super Kings,"27th April, 2011",league,"Dr DY Patil Sports Academy, Mumbai",Day/Night Match,Pune Warriors,Chennai Super Kings,Doug Bollinger,0
209,Kochi Tuskers Kerala,Deccan Chargers,"27th April, 2011",league,"Nehru Stadium, Kochi",Day/Night Match,Kochi Tuskers Kerala,Deccan Chargers,Ishant Sharma,0
210,Delhi Daredevils,Kolkata Knight Riders,"28th April, 2011",league,"Arun Jaitley Stadium, Delhi",Day/Night Match,Delhi Daredevils,Kolkata Knight Riders,Manoj Tiwary,0
211,Rajasthan Royals,Mumbai Indians,"29th April, 2011",league,"Sawai Mansingh Stadium, Jaipur",Day/Night Match,Rajasthan Royals,Rajasthan Royals,Johan Botha,1
212,Royal Challengers Bangalore,Pune Warriors,"29th April, 2011",league,"M Chinnaswamy Stadium, Bengaluru, Bangalore",Day/Night Match,Pune Warriors,Royal Challengers Bangalore,Virat Kohli,1
213,Kochi Tuskers Kerala,Delhi Daredevils,"30th April, 2011",league,"Nehru Stadium, Kochi",Day/Night Match,Delhi Daredevils,Delhi Daredevils,Virender Sehwag,0
214,Kolkata Knight Riders,Kings XI Punjab,"30th April, 2011",league,"Eden Gardens, Kolkata",Day/Night Match,Kolkata Knight Riders,Kolkata Knight Riders,Iqbal Abdulla,1
215,Rajasthan Royals,Pune Warriors,"1st May, 2011",league,"Sawai Mansingh Stadium, Jaipur",Day/Night Match,Rajasthan Royals,Rajasthan Royals,Ross Taylor,1
216,Chennai Super Kings,Deccan Chargers,"1st May, 2011",league,"MA Chidambaram Stadium, Chennai",Day/Night Match,Chennai Super Kings,Chennai Super Kings,Albie Morkel,1
217,Mumbai Indians,Kings XI Punjab,"2nd May, 2011",league,"Wankhede Stadium, Mumbai",Day/Night Match,Kings XI Punjab,Mumbai Indians,Kieron Pollard,1
218,Delhi Daredevils,Kochi Tuskers Kerala,"2nd May, 2011",league,"Arun Jaitley Stadium, Delhi",Day/Night Match,Kochi Tuskers Kerala,Kochi Tuskers Kerala,Prasanth Parameswaran,0
219,Deccan Chargers,Kolkata Knight Riders,"3rd May, 2011",league,"Rajiv Gandhi International Stadium, Hyderabad",Day/Night Match,Deccan Chargers,Kolkata Knight Riders,Yusuf Pathan,0
220,Chennai Super Kings,Rajasthan Royals,"4th May, 2011",league,"MA Chidambaram Stadium, Chennai",Day/Night Match,Rajasthan Royals,Chennai Super Kings,Michael Hussey,1
221,Pune Warriors,Mumbai Indians,"4th May, 2011",league,"Dr DY Patil Sports Academy, Mumbai",Day/Night Match,Pune Warriors,Mumbai Indians,Rahul Sharma,0
222,Kochi Tuskers Kerala,Kolkata Knight Riders,"5th May, 2011",league,"Nehru Stadium, Kochi",Day/Night Match,Kolkata Knight Riders,Kochi Tuskers Kerala,Bradley Hodge,1
223,Deccan Chargers,Delhi Daredevils,"5th May, 2011",league,"Rajiv Gandhi International Stadium, Hyderabad",Day/Night Match,Delhi Daredevils,Delhi Daredevils,Virender Sehwag,0
224,Royal Challengers Bangalore,Kings XI Punjab,"6th May, 2011",league,"M Chinnaswamy Stadium, Bengaluru, Bangalore",Day/Night Match,Kings XI Punjab,Royal Challengers Bangalore,Chris Gayle,1
225,Kolkata Knight Riders,Chennai Super Kings,"7th May, 2011",league,"Eden Gardens, Kolkata",Day/Night Match,Chennai Super Kings,Kolkata Knight Riders,Iqbal Abdulla,1
226,Mumbai Indians,Delhi Daredevils,"7th May, 2011",league,"Wankhede Stadium, Mumbai",Day/Night Match,Delhi Daredevils,Mumbai Indians,Ambati Rayudu,1
227,Royal Challengers Bangalore,Kochi Tuskers Kerala,"8th May, 2011",league,"M Chinnaswamy Stadium, Bengaluru, Bangalore",Day/Night Match,Kochi Tuskers Kerala,Royal Challengers Bangalore,Chris Gayle,1
228,Kings XI Punjab,Pune Warriors,"8th May, 2011",league,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Day/Night Match,Kings XI Punjab,Pune Warriors,Rahul Sharma,0
229,Rajasthan Royals,Chennai Super Kings,"9th May, 2011",league,"Sawai Mansingh Stadium, Jaipur",Day/Night Match,Rajasthan Royals,Chennai Super Kings,Murali Vijay,0
230,Deccan Chargers,Pune Warriors,"10th May, 2011",league,"Rajiv Gandhi International Stadium, Hyderabad",Day/Night Match,Deccan Chargers,Pune Warriors,Mitchell Marsh,0
231,Kings XI Punjab,Mumbai Indians,"10th May, 2011",league,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Day/Night Match,Mumbai Indians,Kings XI Punjab,Bhargav Bhatt,1
232,Rajasthan Royals,Royal Challengers Bangalore,"11th May, 2011",league,"Sawai Mansingh Stadium, Jaipur",Day/Night Match,Royal Challengers Bangalore,Royal Challengers Bangalore,Sreenath Aravind,0
233,Chennai Super Kings,Delhi Daredevils,"12th May, 2011",league,"MA Chidambaram Stadium, Chennai",Day/Night Match,Chennai Super Kings,Chennai Super Kings,M S Dhoni,1
234,Kochi Tuskers Kerala,Kings XI Punjab,"13th May, 2011",league,"Holkar Cricket Stadium, Indore",Day/Night Match,Kings XI Punjab,Kings XI Punjab,Dinesh Karthik,0
235,Royal Challengers Bangalore,Kolkata Knight Riders,"14th May, 2011",league,"M Chinnaswamy Stadium, Bengaluru, Bangalore",Day/Night Match,Royal Challengers Bangalore,Royal Challengers Bangalore,Chris Gayle,1
236,Mumbai Indians,Deccan Chargers,"14th May, 2011",league,"Wankhede Stadium, Mumbai",Day/Night Match,Deccan Chargers,Deccan Chargers,Amit Mishra,0
237,Kings XI Punjab,Delhi Daredevils,"15th May, 2011",league,"Himachal Pradesh Cricket Association Stadium, Dharamsala",Day/Night Match,Delhi Daredevils,Kings XI Punjab,Piyush Chawla,1
238,Kochi Tuskers Kerala,Rajasthan Royals,"15th May, 2011",league,"Holkar Cricket Stadium, Indore",Day/Night Match,Kochi Tuskers Kerala,Kochi Tuskers Kerala,Bradley Hodge,1
239,Pune Warriors,Deccan Chargers,"16th May, 2011",league,"Dr DY Patil Sports Academy, Mumbai",Day/Night Match,Deccan Chargers,Deccan Chargers,Amit Mishra,0
240,Kings XI Punjab,Royal Challengers Bangalore,"17th May, 2011",league,"Himachal Pradesh Cricket Association Stadium, Dharamsala",Day/Night Match,Kings XI Punjab,Kings XI Punjab,Adam Gilchrist,1
241,Chennai Super Kings,Kochi Tuskers Kerala,"18th May, 2011",league,"MA Chidambaram Stadium, Chennai",Day/Night Match,Chennai Super Kings,Chennai Super Kings,Wriddhiman Saha,1
242,Pune Warriors,Kolkata Knight Riders,"19th May, 2011",league,"Dr DY Patil Sports Academy, Mumbai",Day/Night Match,Kolkata Knight Riders,Kolkata Knight Riders,Yusuf Pathan,0
243,Mumbai Indians,Rajasthan Royals,"20th May, 2011",league,"Wankhede Stadium, Mumbai",Day/Night Match,Mumbai Indians,Rajasthan Royals,Shane Watson,0
244,Kings XI Punjab,Deccan Chargers,"21st May, 2011",league,"Himachal Pradesh Cricket Association Stadium, Dharamsala",Day/Night Match,Kings XI Punjab,Deccan Chargers,Shikhar Dhawan,0
245,Delhi Daredevils,Pune Warriors,"21st May, 2011",league,"Arun Jaitley Stadium, Delhi",Day/Night Match,Delhi Daredevils,No result,No Award,0
246,Royal Challengers Bangalore,Chennai Super Kings,"22nd May, 2011",league,"M Chinnaswamy Stadium, Bengaluru, Bangalore",Day/Night Match,Royal Challengers Bangalore,Royal Challengers Bangalore,Chris Gayle,1
247,Kolkata Knight Riders,Mumbai Indians,"22nd May, 2011",league,"Eden Gardens, Kolkata",Day/Night Match,Mumbai Indians,Mumbai Indians,James Franklin,0
248,Royal Challengers Bangalore,Chennai Super Kings,"24th May, 2011",knockout,"Wankhede Stadium, Mumbai",Day/Night Match,Chennai Super Kings,Chennai Super Kings,Suresh Raina,0
249,Kolkata Knight Riders,Mumbai Indians,"25th May, 2011",knockout,"Wankhede Stadium, Mumbai",Day/Night Match,Mumbai Indians,Mumbai Indians,Munaf Patel,0
250,Royal Challengers Bangalore,Mumbai Indians,"27th May, 2011",knockout,"MA Chidambaram Stadium, Chennai",Day/Night Match,Mumbai Indians,Royal Challengers Bangalore,Chris Gayle,1
251,Chennai Super Kings,Royal Challengers Bangalore,"28th May, 2011",knockout,"MA Chidambaram Stadium, Chennai",Day/Night Match,Chennai Super Kings,Chennai Super Kings,Murali Vijay,1
252,Chennai Super Kings,Mumbai Indians,"4th April, 2012",league,"MA Chidambaram Stadium, Chennai",Day/Night Match,Mumbai Indians,Mumbai Indians,Richard Levi,0
253,Kolkata Knight Riders,Delhi Daredevils,"5th April, 2012",league,"Eden Gardens, Kolkata",Day/Night Match,Delhi Daredevils,Delhi Daredevils,Irfan Pathan,0
254,Mumbai Indians,Pune Warriors,"6th April, 2012",league,"Wankhede Stadium, Mumbai",Day/Night Match,Mumbai Indians,Pune Warriors,Steve Smith,0
255,Rajasthan Royals,Kings XI Punjab,"6th April, 2012",league,"Sawai Mansingh Stadium, Jaipur",Day/Night Match,Kings XI Punjab,Rajasthan Royals,Ajinkya Rahane,1
256,Royal Challengers Bangalore,Delhi Daredevils,"7th April, 2012",league,"M Chinnaswamy Stadium, Bengaluru, Bangalore",Day/Night Match,Delhi Daredevils,Royal Challengers Bangalore,AB de Villiers,1
257,Deccan Chargers,Chennai Super Kings,"7th April, 2012",league,"Dr YS Rajasekhara Reddy Cricket Stadium, Visakhapatnam",Day/Night Match,Deccan Chargers,Chennai Super Kings,Ravindra Jadeja,0
258,Rajasthan Royals,Kolkata Knight Riders,"8th April, 2012",league,"Sawai Mansingh Stadium, Jaipur",Day/Night Match,Kolkata Knight Riders,Rajasthan Royals,Bradley Hodge,1
259,Pune Warriors,Kings XI Punjab,"8th April, 2012",league,"Maharashtra Cricket Association Stadium, Pune",Day/Night Match,Pune Warriors,Pune Warriors,Marlon Samuels,1
260,Deccan Chargers,Mumbai Indians,"9th April, 2012",league,"Dr YS Rajasekhara Reddy Cricket Stadium, Visakhapatnam",Day/Night Match,Deccan Chargers,Mumbai Indians,Rohit Sharma,0
261,Royal Challengers Bangalore,Kolkata Knight Riders,"10th April, 2012",league,"M Chinnaswamy Stadium, Bengaluru, Bangalore",Day/Night Match,Royal Challengers Bangalore,Kolkata Knight Riders,No Award,0
262,Delhi Daredevils,Chennai Super Kings,"10th April, 2012",league,"Arun Jaitley Stadium, Delhi",Day/Night Match,Delhi Daredevils,Delhi Daredevils,Morne Morkel,1
263,Mumbai Indians,Rajasthan Royals,"11th April, 2012",league,"Wankhede Stadium, Mumbai",Day/Night Match,Rajasthan Royals,Mumbai Indians,Kieron Pollard,1
264,Chennai Super Kings,Royal Challengers Bangalore,"12th April, 2012",league,"MA Chidambaram Stadium, Chennai",Day/Night Match,Royal Challengers Bangalore,Chennai Super Kings,Faf du Plessis,1
265,Kings XI Punjab,Pune Warriors,"12th April, 2012",league,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Day/Night Match,Kings XI Punjab,Kings XI Punjab,Dimitri Mascarenhas,1
266,Kolkata Knight Riders,Rajasthan Royals,"13th April, 2012",league,"Eden Gardens, Kolkata",Day/Night Match,Rajasthan Royals,Kolkata Knight Riders,Shakib Al Hasan,1
267,Pune Warriors,Chennai Super Kings,"14th April, 2012",league,"Maharashtra Cricket Association Stadium, Pune",Day/Night Match,Chennai Super Kings,Pune Warriors,Jesse Ryder,1
268,Kolkata Knight Riders,Kings XI Punjab,"15th April, 2012",league,"Eden Gardens, Kolkata",Day/Night Match,Kolkata Knight Riders,Kings XI Punjab,Sunil Narine,0
269,Royal Challengers Bangalore,Rajasthan Royals,"15th April, 2012",league,"M Chinnaswamy Stadium, Bengaluru, Bangalore",Day/Night Match,Rajasthan Royals,Rajasthan Royals,Ajinkya Rahane,0
270,Mumbai Indians,Delhi Daredevils,"16th April, 2012",league,"Wankhede Stadium, Mumbai",Day/Night Match,Delhi Daredevils,Delhi Daredevils,Shahbaz Nadeem,0
271,Rajasthan Royals,Deccan Chargers,"17th April, 2012",league,"Sawai Mansingh Stadium, Jaipur",Day/Night Match,Deccan Chargers,Rajasthan Royals,Bradley Hodge,1
272,Royal Challengers Bangalore,Pune Warriors,"17th April, 2012",league,"M Chinnaswamy Stadium, Bengaluru, Bangalore",Day/Night Match,Pune Warriors,Royal Challengers Bangalore,Chris Gayle,1
273,Kings XI Punjab,Kolkata Knight Riders,"18th April, 2012",league,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Day/Night Match,Kings XI Punjab,Kolkata Knight Riders,Gautam Gambhir,0
274,Delhi Daredevils,Deccan Chargers,"19th April, 2012",league,"Arun Jaitley Stadium, Delhi",Day/Night Match,Deccan Chargers,Delhi Daredevils,Kevin Pietersen,1
275,Chennai Super Kings,Pune Warriors,"19th April, 2012",league,"MA Chidambaram Stadium, Chennai",Day/Night Match,Pune Warriors,Chennai Super Kings,Nuwan Kulasekara,1
276,Kings XI Punjab,Royal Challengers Bangalore,"20th April, 2012",league,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Day/Night Match,Royal Challengers Bangalore,Royal Challengers Bangalore,Chris Gayle,0
277,Chennai Super Kings,Rajasthan Royals,"21st April, 2012",league,"MA Chidambaram Stadium, Chennai",Day/Night Match,Rajasthan Royals,Chennai Super Kings,Faf du Plessis,1
278,Delhi Daredevils,Pune Warriors,"21st April, 2012",league,"Arun Jaitley Stadium, Delhi",Day/Night Match,Delhi Daredevils,Pune Warriors,Sourav Ganguly,0
279,Mumbai Indians,Kings XI Punjab,"22nd April, 2012",league,"Wankhede Stadium, Mumbai",Day/Night Match,Mumbai Indians,Kings XI Punjab,Shaun Marsh,0
280,Deccan Chargers,Kolkata Knight Riders,"22nd April, 2012",league,"Barabati Stadium, Cuttack",Day/Night Match,Kolkata Knight Riders,Kolkata Knight Riders,Brett Lee,0
281,Rajasthan Royals,Royal Challengers Bangalore,"23rd April, 2012",league,"Sawai Mansingh Stadium, Jaipur",Day/Night Match,Rajasthan Royals,Royal Challengers Bangalore,AB de Villiers,0
282,Pune Warriors,Delhi Daredevils,"24th April, 2012",league,"Maharashtra Cricket Association Stadium, Pune",Day/Night Match,Pune Warriors,Delhi Daredevils,Virender Sehwag,0
283,Kolkata Knight Riders,Deccan Chargers,"24th April, 2012",league,"Eden Gardens, Kolkata",Day/Night Match,No Toss,No result,No Award,0
284,Kings XI Punjab,Mumbai Indians,"25th April, 2012",league,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Day/Night Match,Kings XI Punjab,Mumbai Indians,Ambati Rayudu,0
285,Royal Challengers Bangalore,Chennai Super Kings,"25th April, 2012",league,"M Chinnaswamy Stadium, Bengaluru, Bangalore",Day/Night Match,Royal Challengers Bangalore,No result,No Award,0
286,Pune Warriors,Deccan Chargers,"26th April, 2012",league,"Maharashtra Cricket Association Stadium, Pune",Day/Night Match,Deccan Chargers,Deccan Chargers,Cameron White,0
287,Delhi Daredevils,Mumbai Indians,"27th April, 2012",league,"Arun Jaitley Stadium, Delhi",Day/Night Match,Mumbai Indians,Delhi Daredevils,Virender Sehwag,1
288,Chennai Super Kings,Kings XI Punjab,"28th April, 2012",league,"MA Chidambaram Stadium, Chennai",Day/Night Match,Kings XI Punjab,Kings XI Punjab,Mandeep Singh,0
289,Kolkata Knight Riders,Royal Challengers Bangalore,"28th April, 2012",league,"Eden Gardens, Kolkata",Day/Night Match,Kolkata Knight Riders,Kolkata Knight Riders,Gautam Gambhir,1
290,Delhi Daredevils,Rajasthan Royals,"29th April, 2012",league,"Arun Jaitley Stadium, Delhi",Day/Night Match,Delhi Daredevils,Delhi Daredevils,Virender Sehwag,1
291,Mumbai Indians,Deccan Chargers,"29th April, 2012",league,"Wankhede Stadium, Mumbai",Day/Night Match,Mumbai Indians,Mumbai Indians,Dale Steyn,1
292,Chennai Super Kings,Kolkata Knight Riders,"30th April, 2012",league,"MA Chidambaram Stadium, Chennai",Day/Night Match,Chennai Super Kings,Kolkata Knight Riders,Gautam Gambhir,0
293,Deccan Chargers,Pune Warriors,"1st May, 2012",league,"Barabati Stadium, Cuttack",Day/Night Match,Deccan Chargers,Deccan Chargers,Kumar Sangakkara,1
294,Rajasthan Royals,Delhi Daredevils,"1st May, 2012",league,"Sawai Mansingh Stadium, Jaipur",Day/Night Match,Rajasthan Royals,Delhi Daredevils,Pawan Negi,0
295,Royal Challengers Bangalore,Kings XI Punjab,"2nd May, 2012",league,"M Chinnaswamy Stadium, Bengaluru, Bangalore",Day/Night Match,Kings XI Punjab,Kings XI Punjab,Azhar Mahmood,0
296,Pune Warriors,Mumbai Indians,"3rd May, 2012",league,"Maharashtra Cricket Association Stadium, Pune",Day/Night Match,Mumbai Indians,Mumbai Indians,Lasith Malinga,0
297,Chennai Super Kings,Deccan Chargers,"4th May, 2012",league,"MA Chidambaram Stadium, Chennai",Day/Night Match,Chennai Super Kings,Chennai Super Kings,Suresh Raina,1
298,Kolkata Knight Riders,Pune Warriors,"5th May, 2012",league,"Eden Gardens, Kolkata",Day/Night Match,Kolkata Knight Riders,Kolkata Knight Riders,Sunil Narine,1
