,home,away,date,match_type,venue,time_of_match,toss,winner,man_of_match,outcome
487,Chennai Super Kings,Kings XI Punjab,"25th April, 2015",league,"MA Chidambaram Stadium, Chennai",Day/Night Match,Chennai Super Kings,Chennai Super Kings,Brendon McCullum,1
488,Kolkata Knight Riders,Rajasthan Royals,"26th April, 2015",league,"Eden Gardens, Kolkata",Day/Night Match,No Toss,No result,No Award,0
489,Delhi Daredevils,Royal Challengers Bangalore,"26th April, 2015",league,"Arun Jaitley Stadium, Delhi",Day/Night Match,Royal Challengers Bangalore,Royal Challengers Bangalore,Varun Aaron,0
490,Kings XI Punjab,Sunrisers Hyderabad,"27th April, 2015",league,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Day/Night Match,Kings XI Punjab,Sunrisers Hyderabad,Trent Boult,0
491,Chennai Super Kings,Kolkata Knight Riders,"28th April, 2015",league,"MA Chidambaram Stadium, Chennai",Day/Night Match,Kolkata Knight Riders,Chennai Super Kings,Dwayne Bravo,1
492,Royal Challengers Bangalore,Rajasthan Royals,"29th April, 2015",league,"M Chinnaswamy Stadium, Bengaluru, Bangalore",Day/Night Match,Rajasthan Royals,No result,No Award,0
493,Kolkata Knight Riders,Chennai Super Kings,"30th April, 2015",league,"Eden Gardens, Kolkata",Day/Night Match,Kolkata Knight Riders,Kolkata Knight Riders,Andre Russell,1
494,Delhi Daredevils,Kings XI Punjab,"1st May, 2015",league,"Arun Jaitley Stadium, Delhi",Day/Night Match,Delhi Daredevils,Delhi Daredevils,Nathan Coulter-Nile,1
495,Mumbai Indians,Rajasthan Royals,"1st May, 2015",league,"Wankhede Stadium, Mumbai",Day/Night Match,Rajasthan Royals,Mumbai Indians,Ambati Rayudu,1
496,Royal Challengers Bangalore,Kolkata Knight Riders,"2nd May, 2015",league,"M Chinnaswamy Stadium, Bengaluru, Bangalore",Day/Night Match,Royal Challengers Bangalore,Royal Challengers Bangalore,Mandeep Singh,1
497,Sunrisers Hyderabad,Chennai Super Kings,"2nd May, 2015",league,"Rajiv Gandhi International Stadium, Hyderabad",Day/Night Match,Chennai Super Kings,Sunrisers Hyderabad,David Warner,1
498,Kings XI Punjab,Mumbai Indians,"3rd May, 2015",league,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Day/Night Match,Mumbai Indians,Mumbai Indians,Lendl Simmons,0
499,Rajasthan Royals,Delhi Daredevils,"3rd May, 2015",league,"Brabourne Stadium, Mumbai",Day/Night Match,Delhi Daredevils,Rajasthan Royals,Ajinkya Rahane,1
500,Chennai Super Kings,Royal Challengers Bangalore,"4th May, 2015",league,"MA Chidambaram Stadium, Chennai",Day/Night Match,Chennai Super Kings,Chennai Super Kings,Suresh Raina,1
501,Kolkata Knight Riders,Sunrisers Hyderabad,"4th May, 2015",league,"Eden Gardens, Kolkata",Day/Night Match,Sunrisers Hyderabad,Kolkata Knight Riders,Umesh Yadav,1
502,Mumbai Indians,Delhi Daredevils,"5th May, 2015",league,"Wankhede Stadium, Mumbai",Day/Night Match,Delhi Daredevils,Mumbai Indians,Harbhajan Singh,1
503,Royal Challengers Bangalore,Kings XI Punjab,"6th May, 2015",league,"M Chinnaswamy Stadium, Bengaluru, Bangalore",Day Match,Kings XI Punjab,Royal Challengers Bangalore,Chris Gayle,1
504,Rajasthan Royals,Sunrisers Hyderabad,"7th May, 2015",league,"Brabourne Stadium, Mumbai",Day/Night Match,Rajasthan Royals,Sunrisers Hyderabad,Eoin Morgan,0
